,course_code,campus,year,name,description,credits,is_honours,restrictions,equivalent_string,co-req_string,pre-req_string,courses_in_equivalent_string,courses_in_co-req_string,courses_in_pre-req_string,winter_term_1,winter_term_2,summer_term_1,summer_term_2,duration_terms,pre_req_json
788,GEOG 317,UBCO,2023,GEOG 317 The Physical Environment of British Columbia,"The biophysical processes that are shaping and have shaped B.C. Characteristic associations between landforms, climate, soil, and vegetation; biophysical constraints on air, land, and water use.",3,False,This course is restricted to students in year: >=3,,,"One of EESC 205, EESC 212, EESC 222, GEOG 200, GEOG 205, GEOG 222. (Third-year standing.)",,,"EESC 205,EESC 212,EESC 222,GEOG 200,GEOG 205,GEOG 222",True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""N_OF"",""value"":1,""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 205"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 212"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 222"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 200"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 205"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 222"",""childNodes"":[]}]},{""type"":""INNER"",""subtype"":""Year"",""value"":""3"",""childNodes"":[]}]}"
789,GEOG 351,UBCO,2023,GEOG 351 Urban Social Geography,"Introduction to the social geographies of cities. Draws on critical social and cultural theories. Gentrification, racialization in the city, gendered spaces, class segregation, urban form, and cultural geographies of urban life.",3,False,This course is restricted to students in year: >=3,,,"All of GEOG 128, GEOG 129. (and third-year standing.)",,,"GEOG 128,GEOG 129",True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 128"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 129"",""childNodes"":[]},{""type"":""INNER"",""subtype"":""YEAR"",""value"":""3"",""childNodes"":[]}]}"
790,GEOG 353,UBCO,2024,GEOG 353 Geographies of Migration and Settlement,"Theoretical and applied perspectives on international migration and settlement. Analysis of international regimes regulating migration, changes in global demographies, immigration policies of nation states, international migration patterns, settlement policies and outcomes.",3,False,This course is restricted to students in year: >=3,,,"All of GEOG 128, GEOG 129. (and third-year standing.)",,,"GEOG 128,GEOG 129",False,True,True,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 128"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 129"",""childNodes"":[]},{""type"":""INNER"",""subtype"":""Year"",""value"":""3"",""childNodes"":[]}]}"
791,GEOG 354,UBCO,2023,"GEOG 354 Urban Canada: Growth, Form, and Structure","Patterns and processes of urban growth, spatial structure and organization of the Canadian city, land development and suburbanization, urban core densification, inner city revitalization, consumption and production spheres, quality of life. Emphasis will be on medium-sized cities.",3,False,This course is restricted to students in year: >=3,,,"All of GEOG 128, GEOG 129. (and third-year standing.)",,,"GEOG 128,GEOG 129",False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 128"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 129"",""childNodes"":[]},{""type"":""INNER"",""subtype"":""YEAR"",""value"":""3"",""childNodes"":[]}]}"
792,GEOG 356,UBCO,2023,GEOG 356 Stratigraphy and Sedimentology,"Origin, classification and interpretation of sediments and sedimentary rocks. Weathering, erosion, transportation, sedimentation, and lithification of clastic materials. Non-clastic sediments. Sedimentary environments, facies and stratigraphic methods. Credit will be granted for only one of GEOG 356 or EESC 356.",3,False,,EESC 356,,"One of EESC 121, EESC 222, GEOG 222.",EESC 356,,"EESC 121,EESC 222,GEOG 222",False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""OR"",""value"":"""",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 121"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 222"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 222"",""childNodes"":[]}]}"
793,GEOG 358,UBCO,2023,"GEOG 358 Gender, Place, and Culture","Examination of the ways in which genders and geographies are mutually constituted. Exploration of the relationship between socially constructed gender relations and geographic concepts of culture, space, place, nature, and landscape. Gendered nature of everyday space, work, education, and the natural environment.",3,False,This course is restricted to students in year: >=3,,,"Two of GEOG 128, GEOG 129, SUST 104.",,,"GEOG 128,GEOG 129,SUST 104",True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""N_OF"",""value"":2,""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 128"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 129"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""SUST 104"",""childNodes"":[]}]}]}"
794,GEOG 359,UBCO,2023,"GEOG 359 Culture, Space, and Politics",Focuses on the cultural turn in geography. Draws upon recent critical theories from cultural studies and cultural geography. Examines the cultural politics of everyday spaces and places.,3,False,This course is restricted to students in year: >=3,,,"All of GEOG 128, GEOG 129. (and third-year standing.)",,,"GEOG 128,GEOG 129",True,False,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 128"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 129"",""childNodes"":[]},{""type"":""INNER"",""subtype"":""YEAR"",""value"":""3"",""childNodes"":[]}]}"
795,GEOG 365,UBCO,2023,GEOG 365 Parks and Outdoor Recreation,"Geographic dimensions of parks and outdoor recreation are examined in urban and rural environments. Understanding parks evolution includes focus on the location, distribution, and site capability of parks and recreational resources, including application of ecological, amenity resource, and management models of parks and outdoor recreational facilities.",3,False,This course is restricted to students in year: >=3,,,"Two of GEOG 128, GEOG 129, SUST 104.",,,"GEOG 128,GEOG 129,SUST 104",False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""N_OF"",""value"":2,""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 128"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 129"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""SUST 104"",""childNodes"":[]}]}]}"
796,GEOG 367,UBCO,2023,GEOG 367 Energy Resources Management,"Key energy systems and resources management from both global and Canadian perspectives. Supplies, distribution, consumption, resilience and sustainability of energy resources. Alternative energy sources, conventional and unconventional fossil fuels, energy production and delivery systems. Credit will be granted for only one of GEOG 367 or EESC 367.",3,False,,EESC 367,,"One of GEOG 108, GEOG 129, EESC 101, EESC 111. (Third-year standing)",EESC 367,,"GEOG 108,GEOG 129,EESC 101,EESC 111",False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""N_OF"",""value"":1,""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 108"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 129"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 101"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""EESC 111"",""childNodes"":[]}]},{""type"":""INNER"",""subtype"":""Year"",""value"":""3"",""childNodes"":[]}]}"
797,GEOG 423,UBCO,2023,GEOG 423 Development of Environmental Thought,An examination of attitudes that have influenced land use and environmental change in the past and present.,3,False,This course is restricted to students in year: >=3,,,"Two of GEOG 128, GEOG 129, SUST 104.",,,"GEOG 128,GEOG 129,SUST 104",False,True,False,False,1,"{""type"":""ROOT"",""subtype"":""AND"",""value"":"""",""childNodes"":[{""type"":""INNER"",""subtype"":""N_OF"",""value"":2,""childNodes"":[{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 128"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""GEOG 129"",""childNodes"":[]},{""type"":""LEAF"",""subtype"":""COURSE"",""value"":""SUST 104"",""childNodes"":[]}]}]}"
